FCU,FCU_AM,total_uni,uni_0,uni_1,uni_2,uni_3,uni_4,uni_5,uni_6,uni_7,uni_8,uni_9,uni_10,hs_state,no_public,ratio_public,no_fcu,ratio_fcu,no_math,ratio_math,taichung,hs_from_taichung,uni_mean,distance,similar_no,no_stat
0,0,4,逢甲大學應用數學系,東吳大學數學系,東海大學應用數學系,臺北市立大學數學系,0,0,0,0,0,0,0,新竹市,0,0.0,1,0.25,4,1.0,0,1,240.75,3,16,0
1,1,6,義守大學電機工程學系,義守大學機械與自動化工程學系,崑山科技大學機械工程系,明新科技大學電機工程系,遠東科技大學機械工程系,遠東科技大學電機工程系,0,0,0,0,0,臺南市,0,0.0,1,0.16666666666666666,1,0.16666666666666666,0,2,292.0,3,1,0
1,1,3,逢甲大學應用數學系,東海大學生命科學系生物醫學組,逢甲大學統計學系,0,0,0,0,0,0,0,0,臺中市,0,0.0,2,0.6666666666666666,1,0.3333333333333333,1,0,289.0,0,9,1
1,1,4,逢甲大學應用數學系,靜宜大學統計資訊學系,銘傳大學應用統計資訊學系(桃園校區),世新大學資訊管理學系資訊管理組,0,0,0,0,0,0,0,苗栗縣,0,0.0,1,0.25,1,0.25,0,1,253.0,1,7,2
1,1,5,逢甲大學應用數學系,逢甲大學統計學系,靜宜大學企業管理學系,靜宜大學會計學系,靜宜大學資訊管理學系,0,0,0,0,0,0,臺中市,0,0.0,2,0.4,1,0.2,1,0,299.0,0,10,1
1,1,6,逢甲大學應用數學系,東海大學應用數學系,逢甲大學材料科學與工程學系,逢甲大學環境工程與科學學系,逢甲大學光電科學與工程學系,國立嘉義大學應用數學系,0,0,0,0,0,臺中市,1,0.16666666666666666,4,0.6666666666666666,3,0.5,1,0,269.25,0,27,0
1,0,5,逢甲大學應用數學系,逢甲大學通訊工程學系,靜宜大學資訊工程學系,南華大學資訊工程學系自然組,亞洲大學行動商務與多媒體應用學系多媒體應用組,0,0,0,0,0,0,雲林縣,0,0.0,2,0.4,1,0.2,0,1,234.625,2,13,0
1,0,7,逢甲大學應用數學系,中原大學應用數學系,逢甲大學資訊電機學院不分系榮譽班,逢甲大學通訊工程學系,銘傳大學資訊工程學系(桃園校區),朝陽科技大學資訊工程系,明志科技大學電子工程系,0,0,0,0,嘉義市,0,0.0,3,0.42857142857142855,2,0.2857142857142857,0,1,243.5,2,17,0
1,1,1,逢甲大學應用數學系,0,0,0,0,0,0,0,0,0,0,苗栗縣,0,0.0,1,1.0,1,1.0,0,1,153.125,1,6,0
1,1,3,逢甲大學應用數學系,長榮大學航運管理學系,南華大學建築與景觀學系(自然組),0,0,0,0,0,0,0,0,臺南市,0,0.0,1,0.3333333333333333,1,0.3333333333333333,0,2,230.0,3,6,0
0,0,4,逢甲大學應用數學系,東海大學應用數學系,逢甲大學資訊電機學院不分系榮譽班,靜宜大學財務與計算數學系計算數學組,0,0,0,0,0,0,0,臺南市,0,0.0,2,0.5,4,1.0,0,2,252.625,3,12,0
1,1,4,逢甲大學應用數學系,靜宜大學資訊工程學系,義守大學材料科學與工程學系,長榮大學資訊工程學系互動多媒體組,0,0,0,0,0,0,0,臺南市,0,0.0,1,0.25,1,0.25,0,2,234.5,3,7,0
0,0,3,逢甲大學應用數學系,東海大學應用數學系,國立屏東大學電腦與智慧型機器人學士學位學程,0,0,0,0,0,0,0,0,高雄市,1,0.3333333333333333,1,0.3333333333333333,2,0.6666666666666666,0,2,223.75,4,11,0
